Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type
0,"K Chahine, KEK Drissi","A novel feature extraction method for nonintrusive appliance load monitoring",2013,"Applied Computational Intelligence and Soft ","dl.acm.org","http://dl.acm.org/citation.cfm?id=2514852","http://scholar.google.com/scholar?q=related:QSgLJKVkzRwJ:scholar.google.com/&hl=en&num=20&as_sdt=0,5&as_ylo=1985",93,2015-03-25,""
0,"S Makonin, F Popowich","Nonintrusive load monitoring (NILM) performance evaluation",2014,"Energy Efficiency","Springer","http://link.springer.com/article/10.1007/s12053-014-9306-2/fulltext.html","http://scholar.google.com/scholar?q=related:fq_IJcUuE0MJ:scholar.google.com/&hl=en&num=20&as_sdt=0,5&as_ylo=1985",94,2015-03-25,""
0,"DV Smith, MS Shahriar","A context aware sound classifier applied to prawn feed monitoring and energy disaggregation",2013,"Knowledge-Based Systems","Elsevier","http://www.sciencedirect.com/science/article/pii/S0950705113001688","http://scholar.google.com/scholar?q=related:r2DjK70XotsJ:scholar.google.com/&hl=en&num=20&as_sdt=0,5&as_ylo=1985",95,2015-03-25,""
0,"NA Kipreos","NONINTRUSIVE LOAD IDENTIFICATION & MONITORING: TECHNIQUES AND APPLICATIONS FOR SMART METERS",2011,"","repositorio.uc.cl","http://www.repositorio.uc.cl/xmlui/handle/123456789/2953","http://scholar.google.com/scholar?q=related:OlDvM0r_lvYJ:scholar.google.com/&hl=en&num=20&as_sdt=0,5&as_ylo=1985",96,2015-03-25,""
0,"A Gupta, Y He, V Garud, HT Cheng","Applications of Non-Intrusive Load Monitoring and Solar Energy Disaggregation",2014,"US Patent App. 14/ ","Google Patents","http://www.google.com/patents/US20140207298","http://scholar.google.com/scholar?cluster=17715989723215935509&hl=en&num=20&as_sdt=0,5&as_ylo=1985",97,2015-03-25,""
0,"M Tewolde","High-Resolution Gas Metering and Nonintrusive Appliance Load Monitoring System",2012,"","dspace.sunyconnect.suny.edu","http://scholar.google.comhttps://dspace.sunyconnect.suny.edu/handle/1951/59886","http://scholar.google.com/scholar?q=related:SN1IQxM_cJ8J:scholar.google.com/&hl=en&num=20&as_sdt=0,5&as_ylo=1985",98,2015-03-25,""
0,"Q Jossen, JC Maun","Unsupervised learning procedure for nonintrusive appliance load monitoring/Procédure d'apprentissage non supervisé pour l'analyse non intrusive de la ",2013,"","difusion.ulb.ac.be","http://difusion.ulb.ac.be/vufind/Record/ULB-ETD:oai:ulb.ac.be:ETDULB:ULBetd-11082013-074844/TOC","http://scholar.google.com/scholar?cluster=11548100749737801046&hl=en&num=20&as_sdt=0,5&as_ylo=1985",99,2015-03-25,""
0,"Y Liu, M Chen","A review of nonintrusive load monitoring and its application in commercial building",2014,"Cyber Technology in Automation, Control, and ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6917536","http://scholar.google.com/scholar?q=related:3E73RPnMIfYJ:scholar.google.com/&hl=en&num=20&as_sdt=0,5&as_ylo=1985",100,2015-03-25,""
0,"HH Chen, PF Wang, CT Sung","Energy Disaggregation via Clustered Regression Models: A Case Study in the Convenience Store",2013," and Applications of ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6783840","http://scholar.google.com/scholar?q=related:CJ4WVO39sQAJ:scholar.google.com/&hl=en&num=20&as_sdt=0,5&as_ylo=1985",101,2015-03-25,""
0,"S Bhattacharjee, A Kumar","Appliance classification using energy disaggregation in smart homes",2014,"Computation of Power, ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6915330","http://scholar.google.com/scholar?q=related:YEKPfNxm6WAJ:scholar.google.com/&hl=en&num=20&as_sdt=0,5&as_ylo=1985",102,2015-03-25,""
